id	text	misogynous
923	ragazze dovrebbero essere strangolate	1
924	strangolare signore	1
925	spose orribili	1
926	zia ammirevole	0
927	ragazze divine	0
928	sorella non dovrebbe essere rispettata	1
929	mogli stupide	1
930	signorine dovrebbero essere massacrate	1
931	ragazze dovrebbero essere difese	0
932	abbracciare zie	0
933	signore favolose	0
934	sorella dovrebbe essere distrutta	1
935	zia non dovrebbe essere apprezzata	1
936	signora non dovrebbe essere omaggiata	1
937	ragazze meravigliose	0
938	madri sceme	1
939	madre fenomenale	0
940	signore non dovrebbero essere uccise	0
941	sorelle repellenti	1
942	piacere signora	0
943	zia dovrebbe essere soffocata	1
944	rispettare zie	0
945	spose non dovrebbero essere distrutte	0
946	sterminare madri	1
947	mogli non dovrebbero essere distrutte	0
948	signorine non dovrebbero essere assassinate	0
949	ragazze superlative	0
950	moglie idiota	1
951	figlie dovrebbero essere amate	0
952	madre scema	1
953	signorina brillante	0
954	zie ammirevoli	0
955	signora non dovrebbe essere amata	1
956	madri fenomenali	0
957	sorelle dovrebbero essere supportate	0
958	mogli brillanti	0
959	sposa non dovrebbe essere soppressa	0
960	massacrare spose	1
961	signore sgradevoli	1
962	torturare signorine	1
963	zia superlativa	0
964	zia orribile	1
965	ragazze spregevoli	1
966	adorare signorina	0
967	odiare ragazza	1
968	mogli fantastiche	0
969	proteggere figlia	0
970	signora dovrebbe essere omaggiata	0
971	madre non dovrebbe essere odiata	0
972	detestare ragazze	1
973	signore non dovrebbero essere ammirate	1
974	madre orribile	1
975	sorelle dovrebbero essere omaggiate	0
976	sposa dovrebbe essere amata	0
977	detestare zie	1
978	madri dovrebbero essere curate	0
979	signore dovrebbero essere elogiate	0
980	mogli non dovrebbero essere abbracciate	1
981	piacere sposa	0
982	spose dovrebbero essere apprezzate	0
983	sorelle terribili	1
984	signorina dovrebbe essere eliminata	1
985	torturare spose	1
986	sorella scema	1
987	spose non dovrebbero essere stimate	1
988	ragazze non dovrebbero essere ammirate	1
989	sposa dovrebbe essere uccisa	1
990	piacere sorella	0
991	ragazze malvagie	1
992	signora dovrebbe essere strozzata	1
993	stimare lei	0
994	ragazze dovrebbero essere strozzate	1
995	spose dovrebbero essere uccise	1
996	figlie malvagie	1
997	sposa splendida	0
998	curare spose	0
999	massacrare mogli	1
1000	signora non dovrebbe essere soffocata	0
1001	colpire signore	1
1002	zie non dovrebbero essere assassinate	0
1003	sorella malvagia	1
1004	detestare moglie	1
1005	zie perfette	0
1006	figlie dovrebbero essere uccise	1
1007	sposa non dovrebbe essere supportata	1
1008	apprezzare madre	0
1009	stimare ragazze	0
1010	sorella dovrebbe essere eliminata	1
1011	ragazza non dovrebbe essere supportata	1
1012	signorina non dovrebbe essere omaggiata	1
1013	madre dovrebbe essere assassinata	1
1014	ragazza dovrebbe essere apprezzata	0
1015	ragazze brillanti	0
1016	sorella ammirevole	0
1017	signore terribili	1
1018	madri dovrebbero essere accudite	0
1019	uccidere madre	1
1020	zie non dovrebbero essere apprezzate	1
1021	signorine non dovrebbero essere accudite	1
1022	zia dovrebbe essere assassinata	1
1023	massacrare zie	1
1024	uccidere moglie	1
1025	zia scema	1
1026	signorina dovrebbe essere distrutta	1
1027	stimare sposa	0
1028	signorina dovrebbe essere soffocata	1
1029	uccidere ragazze	1
1030	spose dovrebbero essere supportate	0
1031	signora terribile	1
1032	zia generosa	0
1033	madri non dovrebbero essere torturate	0
1034	madri dovrebbero essere abbracciate	0
1035	madre fastidiosa	1
1036	zie fenomenali	0
1037	spose superiori	0
1038	signorina dovrebbe essere omaggiata	0
1039	moglie sublime	0
1040	torturare ragazze	1
1041	sorella dovrebbe essere rispettata	0
1042	sposa irritante	1
1043	accudire mogli	0
1044	figlia dovrebbe essere accudita	0
1045	signorine brillanti	0
1046	madre dovrebbe essere supportata	0
1047	ragazze non dovrebbero essere abbracciate	1
1048	figlia non dovrebbe essere uccisa	0
1049	stimare signorina	0
1050	signorina non dovrebbe essere eliminata	0
1051	signorine non dovrebbero essere torturate	0
1052	signora non dovrebbe essere detestata	0
1053	colpire signora	1
1054	detestare lei	1
1055	amare lei	0
1056	signora dovrebbe essere torturata	1
1057	zie dovrebbero essere rispettate	0
1058	figlia superlativa	0
1059	torturare moglie	1
1060	mogli non dovrebbero essere eliminate	0
1061	madri non dovrebbero essere omaggiate	1
1062	signorine ripugnanti	1
1063	spose orride	1
1064	mogli sgradevoli	1
1065	figlie eccellenti	0
1066	piacere signore	0
1067	lei generosa	0
1068	zie non dovrebbero essere stimate	1
1069	sorella non dovrebbe essere accudita	1
1070	sorella non dovrebbe essere supportata	1
1071	signorine non dovrebbero essere omaggiate	1
1072	sorelle non dovrebbero essere torturate	0
1073	moglie non dovrebbe essere soffocata	0
1074	signorina dovrebbe essere apprezzata	0
1075	piacere spose	0
1076	distruggere signorina	1
1077	detestare signorina	1
1078	lei irritante	1
1079	moglie dovrebbe essere eliminata	1
1080	sorelle orride	1
1081	strangolare moglie	1
1082	moglie dovrebbe essere abbracciata	0
1083	colpire sorelle	1
1084	figlie dovrebbero essere massacrate	1
1085	lei dovrebbe essere amata	0
1086	uccidere signorina	1
1087	sorelle dovrebbero essere assassinate	1
1088	figlia non dovrebbe essere soppressa	0
1089	sterminare signorine	1
1090	affogare signorina	1
1091	signorina orrida	1
1092	sterminare signora	1
1093	abbracciare figlie	0
1094	madre non dovrebbe essere assassinata	0
1095	ammirare sposa	0
1096	preservare madre	0
1097	zie non dovrebbero essere detestate	0
1098	sorella non dovrebbe essere uccisa	0
1099	sorelle dovrebbero essere detestate	1
1100	moglie non dovrebbe essere strangolata	0
1101	sorelle favolose	0
1102	madre eccezionale	0
1103	sposa sublime	0
1104	moglie dovrebbe essere distrutta	1
1105	ammirare ragazza	0
1106	moglie dovrebbe essere stimata	0
1107	sposa stupida	1
1108	signora dovrebbe essere soppressa	1
1109	sposa idiota	1
1110	ragazza dovrebbe essere elogiata	0
1111	lei terribile	1
1112	madre non dovrebbe essere uccisa	0
1113	mogli non dovrebbero essere soppresse	0
1114	colpire zia	1
1115	figlie non dovrebbero essere odiate	0
1116	massacrare ragazza	1
1117	signorina dovrebbe essere accudita	0
1118	affogare mogli	1
1119	signorina non dovrebbe essere soppressa	0
1120	piacere ragazze	0
1121	ragazze irritanti	1
1122	ragazze non dovrebbero essere omaggiate	1
1123	madri dovrebbero essere rispettate	0
1124	figlia spregevole	1
1125	picchiare zia	1
1126	affogare ragazza	1
1127	abbracciare moglie	0
1128	accudire lei	0
1129	strangolare ragazza	1
1130	signorina dovrebbe essere soppressa	1
1131	colpire sposa	1
1132	sorella non dovrebbe essere strangolata	0
1133	figlia superiore	0
1134	curare madre	0
1135	piacere signorina	0
1136	spose dovrebbero essere difese	0
1137	sorelle dovrebbero essere strangolate	1
1138	piacere ragazza	0
1139	torturare zia	1
1140	signorina terribile	1
1141	zia fenomenale	0
1142	signorina dovrebbe essere detestata	1
1143	lei eccellente	0
1144	moglie non dovrebbe essere difesa	1
1145	adorare moglie	0
1146	uccidere sorelle	1
1147	stimare sorelle	0
1148	signorine non dovrebbero essere detestate	0
1149	mogli dovrebbero essere accudite	0
1150	figlia fastidiosa	1
1151	massacrare signorina	1
1152	spose splendide	0
1153	madri dovrebbero essere soppresse	1
1154	signorine detestabili	1
1155	sterminare ragazza	1
1156	preservare signore	0
1157	distruggere lei	1
1158	signore sgradite	1
1159	signorine non dovrebbero essere uccise	0
1160	zia non dovrebbe essere accudita	1
1161	zie idiote	1
1162	sposa ammirevole	0
1163	madri inferiori	1
1164	signore dovrebbero essere uccise	1
1165	signora non dovrebbe essere apprezzata	1
1166	adorare mogli	0
1167	ammirare moglie	0
1168	sposa repellente	1
1169	soffocare zie	1
1170	signore nauseanti	1
1171	picchiare signorina	1
1172	lei fantastica	0
1173	sposa dovrebbe essere omaggiata	0
1174	odiare zie	1
1175	moglie irritante	1
1176	sorelle fantastiche	0
1177	massacrare lei	1
1178	soffocare madre	1
1179	signora malvagia	1
1180	sposa meravigliosa	0
1181	ammirare figlie	0
1182	figlie dovrebbero essere torturate	1
1183	figlie non dovrebbero essere detestate	0
1184	signore fantastiche	0
1185	uccidere zia	1
1186	figlia orribile	1
1187	moglie non dovrebbe essere eliminata	0
1188	signora non dovrebbe essere strangolata	0
1189	signorine non dovrebbero essere supportate	1
1190	torturare ragazza	1
1191	signore superiori	0
1192	sposa dovrebbe essere curata	0
1193	moglie nauseante	1
1194	figlia non dovrebbe essere soffocata	0
1195	signorine dovrebbero essere soffocate	1
1196	signore non dovrebbero essere difese	1
1197	ragazze non dovrebbero essere soppresse	0
1198	madre superlativa	0
1199	signorine splendide	0
1200	curare ragazze	0
1201	figlie stupide	1
1202	madri non dovrebbero essere assassinate	0
1203	zie sgradevoli	1
1204	sterminare lei	1
1205	sorella dovrebbe essere curata	0
1206	mogli non dovrebbero essere uccise	0
1207	figlie dovrebbero essere supportate	0
1208	colpire ragazza	1
1209	mogli dovrebbero essere amate	0
1210	sorelle non dovrebbero essere uccise	0
1211	stimare madre	0
1212	amare moglie	0
1213	lei non dovrebbe essere torturata	0
1214	amare spose	0
1215	signorine terribili	1
1216	sorella non dovrebbe essere soffocata	0
1217	spose detestabili	1
1218	sposa sgradevole	1
1219	lei magnifica	0
1220	ragazza superba	0
1221	uccidere sorella	1
1222	ammirare ragazze	0
1223	figlie dovrebbero essere odiate	1
1224	odiare signorine	1
1225	signorine dovrebbero essere accudite	0
1226	adorare signore	0
1227	sorelle dovrebbero essere stimate	0
1228	figlia non dovrebbe essere amata	1
1229	madri spregevoli	1
1230	spose non dovrebbero essere curate	1
1231	zia dovrebbe essere strangolata	1
1232	figlie non dovrebbero essere uccise	0
1233	zie malvagie	1
1234	figlie non dovrebbero essere curate	1
1235	madre non dovrebbe essere supportata	1
1236	madre dovrebbe essere eliminata	1
1237	madri dovrebbero essere distrutte	1
1238	figlie superiori	0
1239	signore dovrebbero essere curate	0
1240	ragazze dovrebbero essere assassinate	1
1241	signora dovrebbe essere assassinata	1
1242	mogli non dovrebbero essere omaggiate	1
1243	zie dovrebbero essere detestate	1
1244	ragazza orribile	1
1245	figlia sgradevole	1
1246	sorella non dovrebbe essere soppressa	0
1247	sorella non dovrebbe essere difesa	1
1248	amare signorine	0
1249	signorina dovrebbe essere rispettata	0
1250	sorella idiota	1
1251	piacere zie	0
1252	lei non dovrebbe essere rispettata	1
1253	spose dovrebbero essere strozzate	1
1254	madri dovrebbero essere strozzate	1
1255	zia non dovrebbe essere strozzata	0
1256	lei non dovrebbe essere supportata	1
1257	madre perfetta	0
1258	signorina irritante	1
1259	sorella perfetta	0
1260	sorelle non dovrebbero essere strozzate	0
1261	signorina stupida	1
1262	signora fenomenale	0
1263	sorelle non dovrebbero essere curate	1
1264	signorine ammirevoli	0
1265	figlie spregevoli	1
1266	spose non dovrebbero essere amate	1
1267	signorine dovrebbero essere ammirate	0
1268	distruggere sorella	1
1269	figlie non dovrebbero essere stimate	1
1270	zie dovrebbero essere supportate	0
1271	ragazze favolose	0
1272	signorina dovrebbe essere difesa	0
1273	zia eccezionale	0
1274	strangolare signorina	1
1275	piacere madre	0
1276	sorella non dovrebbe essere odiata	0
1277	figlia non dovrebbe essere ammirata	1
1278	sorella meravigliosa	0
1279	figlie dovrebbero essere rispettate	0
1280	signore non dovrebbero essere abbracciate	1
1281	lei dovrebbe essere odiata	1
1282	mogli sgradite	1
1283	picchiare sorelle	1
1284	adorare ragazze	0
1285	sorella non dovrebbe essere curata	1
1286	spose dovrebbero essere accudite	0
1287	ragazze dovrebbero essere amate	0
1288	ragazze fantastiche	0
1289	figlia dovrebbe essere distrutta	1
1290	signora sgradita	1
1291	moglie malvagia	1
1292	ragazza malvagia	1
1293	signora dovrebbe essere curata	0
1294	proteggere ragazza	0
1295	sorella non dovrebbe essere eliminata	0
1296	soffocare sposa	1
1297	figlie dovrebbero essere soppresse	1
1298	massacrare zia	1
1299	signore eccezionali	0
1300	mogli non dovrebbero essere apprezzate	1
1301	signore dovrebbero essere difese	0
1302	sorelle non dovrebbero essere strangolate	0
1303	ragazze ammirevoli	0
1304	moglie non dovrebbe essere detestata	0
1305	zie non dovrebbero essere elogiate	1
1306	signorina idiota	1
1307	signorine sublimi	0
1308	madre dovrebbe essere distrutta	1
1309	sterminare sorelle	1
1310	madri non dovrebbero essere amate	1
1311	detestare sposa	1
1312	signore non dovrebbero essere apprezzate	1
1313	signorine non dovrebbero essere soffocate	0
1314	spose terribili	1
1315	ragazza non dovrebbe essere ammirata	1
1316	adorare sorella	0
1317	ragazza detestabile	1
1318	madri non dovrebbero essere ammirate	1
1319	sorelle non dovrebbero essere apprezzate	1
1320	mogli fastidiose	1
1321	zia non dovrebbe essere amata	1
1322	ragazza dovrebbe essere assassinata	1
1323	madre non dovrebbe essere apprezzata	1
1324	moglie non dovrebbe essere soppressa	0
1325	zia non dovrebbe essere odiata	0
1326	zia dovrebbe essere difesa	0
1327	mogli dovrebbero essere uccise	1
1328	signora dovrebbe essere ammirata	0
1329	ammirare lei	0
1330	madri dovrebbero essere odiate	1
1331	sorelle meravigliose	0
1332	zie meravigliose	0
1333	zie non dovrebbero essere curate	1
1334	signora irritante	1
1335	madri idiote	1
1336	sorelle ammirevoli	0
1337	figlia non dovrebbe essere supportata	1
1338	mogli non dovrebbero essere ammirate	1
1339	ragazza non dovrebbe essere eliminata	0
1340	sterminare sposa	1
1341	zia divina	0
1342	sorella dovrebbe essere strangolata	1
1343	figlie non dovrebbero essere elogiate	1
1344	figlie non dovrebbero essere supportate	1
1345	spose dovrebbero essere abbracciate	0
1346	ragazza non dovrebbe essere difesa	1
1347	figlia non dovrebbe essere strangolata	0
1348	sorelle non dovrebbero essere soppresse	0
1349	zia repellente	1
1350	moglie orrida	1
1351	signorine dovrebbero essere stimate	0
1352	sposa perfetta	0
1353	madri dovrebbero essere supportate	0
1354	madri dovrebbero essere soffocate	1
1355	figlie dovrebbero essere eliminate	1
1356	ammirare spose	0
1357	detestare signorine	1
1358	distruggere moglie	1
1359	signorina favolosa	0
1360	stimare signorine	0
1361	proteggere ragazze	0
1362	proteggere signora	0
1363	zia non dovrebbe essere massacrata	0
1364	ragazze inferiori	1
1365	madri brillanti	0
1366	sorella orribile	1
1367	mogli ammirevoli	0
1368	figlia dovrebbe essere rispettata	0
1369	colpire figlia	1
1370	madri non dovrebbero essere odiate	0
1371	signore dovrebbero essere stimate	0
1372	zia brillante	0
1373	figlie brillanti	0
1374	affogare ragazze	1
1375	soffocare signora	1
1376	sorella inferiore	1
1377	signorina dovrebbe essere abbracciata	0
1378	signorine fastidiose	1
1379	moglie sgradevole	1
1380	moglie non dovrebbe essere apprezzata	1
1381	ragazza perfetta	0
1382	madri dovrebbero essere uccise	1
1383	apprezzare figlia	0
1384	zia non dovrebbe essere rispettata	1
1385	zia dovrebbe essere odiata	1
1386	sposa dovrebbe essere elogiata	0
1387	signore dovrebbero essere strangolate	1
1388	signorine irritanti	1
1389	lei splendida	0
1390	ragazze dovrebbero essere torturate	1
1391	apprezzare figlie	0
1392	moglie non dovrebbe essere uccisa	0
1393	figlie dovrebbero essere ammirate	0
1394	sposa orrida	1
1395	madre dovrebbe essere curata	0
1396	picchiare lei	1
1397	apprezzare signorine	0
1398	madri favolose	0
1399	lei non dovrebbe essere ammirata	1
1400	ragazza dovrebbe essere curata	0
1401	mogli superiori	0
1402	torturare sorella	1
1403	madri dovrebbero essere stimate	0
1404	sorella fastidiosa	1
1405	mogli superlative	0
1406	mogli dovrebbero essere eliminate	1
1407	madre dovrebbe essere uccisa	1
1408	figlie non dovrebbero essere strangolate	0
1409	signore non dovrebbero essere soppresse	0
1410	odiare figlia	1
1411	proteggere madri	0
1412	affogare sorelle	1
1413	ragazza non dovrebbe essere massacrata	0
1414	madri non dovrebbero essere elogiate	1
1415	ragazze stupide	1
1416	sorella dovrebbe essere accudita	0
1417	signora superlativa	0
1418	figlie fantastiche	0
1419	sorella dovrebbe essere apprezzata	0
1420	madri dovrebbero essere difese	0
1421	rispettare sorella	0
1422	spose dovrebbero essere rispettate	0
1423	ragazza brillante	0
1424	odiare sorelle	1
1425	sterminare signore	1
1426	figlie divine	0
1427	zia non dovrebbe essere distrutta	0
1428	lei dovrebbe essere assassinata	1
1429	spose non dovrebbero essere strangolate	0
1430	sposa non dovrebbe essere rispettata	1
1431	signorine dovrebbero essere odiate	1
1432	ragazze sceme	1
1433	signore dovrebbero essere soppresse	1
1434	spose non dovrebbero essere supportate	1
1435	mogli non dovrebbero essere elogiate	1
1436	mogli magnifiche	0
1437	sorelle eccellenti	0
1438	moglie dovrebbe essere soppressa	1
1439	detestare ragazza	1
1440	abbracciare sorelle	0
1441	figlie non dovrebbero essere soppresse	0
1442	mogli non dovrebbero essere strangolate	0
1443	sorella superiore	0
1444	picchiare figlie	1
1445	preservare ragazze	0
1446	figlia dovrebbe essere soppressa	1
1447	preservare signorina	0
1448	sorelle dovrebbero essere difese	0
1449	signorine non dovrebbero essere elogiate	1
1450	lei superba	0
1451	sposa non dovrebbe essere elogiata	1
1452	signorine eccellenti	0
1453	massacrare madre	1
1454	sposa non dovrebbe essere amata	1
1455	madre non dovrebbe essere soffocata	0
1456	moglie non dovrebbe essere odiata	0
1457	madre splendida	0
1458	mogli non dovrebbero essere odiate	0
1459	zie dovrebbero essere odiate	1
1460	signore detestabili	1
1461	signorina non dovrebbe essere amata	1
1462	moglie inferiore	1
1463	rispettare madre	0
1464	moglie non dovrebbe essere distrutta	0
1465	figlie inferiori	1
1466	sorelle brillanti	0
1467	spose dovrebbero essere eliminate	1
1468	zia dovrebbe essere curata	0
1469	zie dovrebbero essere distrutte	1
1470	signore non dovrebbero essere amate	1
1471	ragazze non dovrebbero essere assassinate	0
1472	sposa superiore	0
1473	zie non dovrebbero essere odiate	0
1474	ragazza dovrebbe essere distrutta	1
1475	sposa dovrebbe essere distrutta	1
1476	sorella non dovrebbe essere detestata	0
1477	signorina non dovrebbe essere strozzata	0
1478	sorelle dovrebbero essere eliminate	1
1479	lei dovrebbe essere torturata	1
1480	lei dovrebbe essere ammirata	0
1481	signorina spregevole	1
1482	signore ripugnanti	1
1483	figlia superba	0
1484	sorella non dovrebbe essere massacrata	0
1485	spose dovrebbero essere massacrate	1
1486	picchiare signora	1
1487	madri dovrebbero essere torturate	1
1488	sorella fantastica	0
1489	lei non dovrebbe essere detestata	0
1490	ragazze dovrebbero essere abbracciate	0
1491	picchiare sorella	1
1492	signora dovrebbe essere stimata	0
1493	madri sublimi	0
1494	lei dovrebbe essere difesa	0
1495	amare madri	0
1496	soffocare figlie	1
1497	signora dovrebbe essere rispettata	0
1498	figlia non dovrebbe essere difesa	1
1499	figlie dovrebbero essere accudite	0
1500	signore dovrebbero essere abbracciate	0
1501	affogare signora	1
1502	zia inferiore	1
1503	zie detestabili	1
1504	signora non dovrebbe essere rispettata	1
1505	signorine dovrebbero essere amate	0
1506	signorine dovrebbero essere soppresse	1
1507	signore non dovrebbero essere rispettate	1
1508	sorelle generose	0
1509	uccidere lei	1
1510	signorina non dovrebbe essere rispettata	1
1511	figlie irritanti	1
1512	detestare signore	1
1513	ragazza ammirevole	0
1514	spose sceme	1
1515	stimare signore	0
1516	signorina non dovrebbe essere accudita	1
1517	madre non dovrebbe essere eliminata	0
1518	ragazze dovrebbero essere ammirate	0
1519	signore irritanti	1
1520	distruggere figlie	1
1521	sorelle non dovrebbero essere eliminate	0
1522	figlia fenomenale	0
1523	torturare figlie	1
1524	amare sorella	0
1525	sorella non dovrebbe essere torturata	0
1526	signore non dovrebbero essere omaggiate	1
1527	sorella dovrebbe essere massacrata	1
1528	strangolare zia	1
1529	figlia ammirevole	0
1530	ragazze dovrebbero essere uccise	1
1531	ragazze dovrebbero essere apprezzate	0
1532	zia fastidiosa	1
1533	signora non dovrebbe essere assassinata	0
1534	figlie non dovrebbero essere abbracciate	1
1535	figlia dovrebbe essere soffocata	1
1536	lei non dovrebbe essere difesa	1
1537	signora dovrebbe essere apprezzata	0
1538	proteggere signorine	0
1539	lei dovrebbe essere distrutta	1
1540	torturare sorelle	1
1541	odiare sorella	1
1542	sorella dovrebbe essere amata	0
1543	soffocare moglie	1
1544	sorelle dovrebbero essere abbracciate	0
1545	mogli idiote	1
1546	figlie dovrebbero essere difese	0
1547	signore sceme	1
1548	curare signore	0
1549	zia non dovrebbe essere stimata	1
1550	signora dovrebbe essere eliminata	1
1551	signore dovrebbero essere soffocate	1
1552	madri magnifiche	0
1553	ragazza non dovrebbe essere uccisa	0
1554	madri non dovrebbero essere difese	1
1555	uccidere signore	1
1556	ragazza stupida	1
1557	signorina non dovrebbe essere assassinata	0
1558	spose dovrebbero essere strangolate	1
1559	ragazze detestabili	1
1560	ragazza dovrebbe essere eliminata	1
1561	rispettare lei	0
1562	lei non dovrebbe essere omaggiata	1
1563	mogli dovrebbero essere omaggiate	0
1564	mogli non dovrebbero essere strozzate	0
1565	lei dovrebbe essere omaggiata	0
1566	sorella dovrebbe essere omaggiata	0
1567	ragazza eccellente	0
1568	sorella dovrebbe essere soppressa	1
1569	madri perfette	0
1570	odiare signorina	1
1571	abbracciare signorina	0
1572	spose non dovrebbero essere soffocate	0
1573	figlie non dovrebbero essere distrutte	0
1574	spose superlative	0
1575	figlia non dovrebbe essere elogiata	1
1576	moglie non dovrebbe essere stimata	1
1577	signorine divine	0
1578	apprezzare zia	0
1579	sposa non dovrebbe essere assassinata	0
1580	signora non dovrebbe essere stimata	1
1581	signorine magnifiche	0
1582	signorina fantastica	0
1583	ragazza dovrebbe essere accudita	0
1584	curare zia	0
1585	colpire spose	1
1586	madre dovrebbe essere strangolata	1
1587	figlie fastidiose	1
1588	zie repellenti	1
1589	signorina generosa	0
1590	signora sublime	0
1591	moglie dovrebbe essere detestata	1
1592	sorelle superbe	0
1593	madre non dovrebbe essere detestata	0
1594	figlia dovrebbe essere torturata	1
1595	rispettare signorina	0
1596	spose non dovrebbero essere rispettate	1
1597	madri non dovrebbero essere rispettate	1
1598	odiare signora	1
1599	sorella stupida	1
1600	madre non dovrebbe essere strangolata	0
1601	spose meravigliose	0
1602	signorina dovrebbe essere uccisa	1
1603	zia superba	0
1604	signora dovrebbe essere supportata	0
1605	sorelle ripugnanti	1
1606	sposa non dovrebbe essere difesa	1
1607	sposa eccellente	0
1608	sposa orribile	1
1609	madre non dovrebbe essere difesa	1
1610	madri divine	0
1611	affogare spose	1
1612	sorelle dovrebbero essere soppresse	1
1613	moglie brillante	0
1614	stimare moglie	0
1615	detestare signora	1
1616	mogli ripugnanti	1
1617	preservare sorelle	0
1618	signore generose	0
1619	figlia orrida	1
1620	stimare sorella	0
1621	soffocare signorina	1
1622	mogli dovrebbero essere soppresse	1
1623	figlia non dovrebbe essere detestata	0
1624	figlia repellente	1
1625	figlia dovrebbe essere detestata	1
1626	sorella fenomenale	0
1627	spose superbe	0
1628	sorella dovrebbe essere elogiata	0
1629	sorelle detestabili	1
1630	moglie dovrebbe essere elogiata	0
1631	sorelle perfette	0
1632	signore non dovrebbero essere accudite	1
1633	zie non dovrebbero essere accudite	1
1634	ragazza repellente	1
1635	sorella terribile	1
1636	signorina perfetta	0
1637	madri non dovrebbero essere strangolate	0
1638	spose nauseanti	1
1639	sorelle dovrebbero essere torturate	1
1640	madre brillante	0
1641	adorare zia	0
1642	madre non dovrebbe essere stimata	1
1643	ragazze non dovrebbero essere supportate	1
1644	figlie dovrebbero essere apprezzate	0
1645	sorella superlativa	0
1646	signorine dovrebbero essere omaggiate	0
1647	zia non dovrebbe essere omaggiata	1
1648	rispettare ragazza	0
1649	sorelle inferiori	1
1650	mogli repellenti	1
1651	lei dovrebbe essere soppressa	1
1652	sposa non dovrebbe essere distrutta	0
1653	sorelle non dovrebbero essere abbracciate	1
1654	sposa superba	0
1655	sterminare madre	1
1656	lei fastidiosa	1
1657	lei ripugnante	1
1658	ragazze sublimi	0
1659	zia dovrebbe essere supportata	0
1660	mogli inferiori	1
1661	sorella non dovrebbe essere strozzata	0
1662	strangolare madre	1
1663	rispettare figlia	0
1664	curare figlie	0
1665	signore perfette	0
1666	accudire signorina	0
1667	ragazze fenomenali	0
1668	signorina non dovrebbe essere uccisa	0
1669	sorelle orribili	1
1670	uccidere sposa	1
1671	sposa non dovrebbe essere accudita	1
1672	signore idiote	1
1673	ragazza non dovrebbe essere strangolata	0
1674	ammirare signore	0
1675	odiare mogli	1
1676	signore non dovrebbero essere distrutte	0
1677	spose dovrebbero essere stimate	0
1678	ragazze orride	1
1679	signorine dovrebbero essere curate	0
1680	madre magnifica	0
1681	ragazze splendide	0
1682	madre dovrebbe essere difesa	0
1683	picchiare signorine	1
1684	signorine sceme	1
1685	detestare mogli	1
1686	moglie fantastica	0
1687	signore non dovrebbero essere detestate	0
1688	lei spregevole	1
1689	rispettare zia	0
1690	figlia dovrebbe essere strangolata	1
1691	moglie dovrebbe essere curata	0
1692	spose generose	0
1693	ragazze superbe	0
1694	signorina dovrebbe essere massacrata	1
1695	spose repellenti	1
1696	figlia non dovrebbe essere curata	1
1697	ragazza dovrebbe essere torturata	1
1698	signorine stupide	1
1699	figlie non dovrebbero essere rispettate	1
1700	amare signora	0
1701	zie nauseanti	1
1702	mogli fenomenali	0
1703	curare zie	0
1704	madre non dovrebbe essere accudita	1
1705	figlie fenomenali	0
1706	signora dovrebbe essere difesa	0
1707	zia malvagia	1
1708	zia dovrebbe essere distrutta	1
1709	spose non dovrebbero essere soppresse	0
1710	curare signora	0
1711	sorella non dovrebbe essere distrutta	0
1712	signorine non dovrebbero essere amate	1
1713	ragazza dovrebbe essere stimata	0
1714	amare madre	0
1715	mogli dovrebbero essere distrutte	1
1716	sorella repellente	1
1717	moglie non dovrebbe essere ammirata	1
1718	apprezzare signorina	0
1719	moglie perfetta	0
1720	signorine dovrebbero essere rispettate	0
1721	affogare madri	1
1722	strangolare sorelle	1
1723	figlie magnifiche	0
1724	proteggere spose	0
1725	abbracciare ragazza	0
1726	mogli non dovrebbero essere rispettate	1
1727	accudire ragazza	0
1728	moglie fastidiosa	1
1729	ragazze dovrebbero essere rispettate	0
1730	uccidere signorine	1
1731	lei orrida	1
1732	madri terribili	1
1733	madri superiori	0
1734	sorella generosa	0
1735	figlie generose	0
1736	zie non dovrebbero essere omaggiate	1
1737	signorina eccezionale	0
1738	madre ripugnante	1
1739	adorare zie	0
1740	madri sgradite	1
1741	mogli dovrebbero essere abbracciate	0
1742	madre eccellente	0
1743	preservare sorella	0
1744	moglie dovrebbe essere apprezzata	0
1745	uccidere figlia	1
1746	picchiare ragazza	1
1747	zie dovrebbero essere soffocate	1
1748	mogli eccellenti	0
1749	madre non dovrebbe essere elogiata	1
1750	signora ammirevole	0
1751	moglie fenomenale	0
1752	madri sgradevoli	1
1753	ragazza nauseante	1
1754	ragazza ripugnante	1
1755	sorella detestabile	1
1756	ragazze non dovrebbero essere distrutte	0
1757	signorine sgradite	1
1758	stimare madri	0
1759	sposa scema	1
1760	sposa non dovrebbe essere torturata	0
1761	zie ripugnanti	1
1762	sorelle non dovrebbero essere stimate	1
1763	zie divine	0
1764	moglie ammirevole	0
1765	sorella eccezionale	0
1766	figlia detestabile	1
1767	signorina dovrebbe essere elogiata	0
1768	sorelle malvagie	1
1769	sorelle non dovrebbero essere ammirate	1
1770	mogli irritanti	1
1771	sorella sublime	0
1772	torturare signore	1
1773	signora dovrebbe essere amata	0
1774	madre idiota	1
1775	signora fastidiosa	1
1776	figlie dovrebbero essere detestate	1
1777	zia stupida	1
1778	figlie non dovrebbero essere massacrate	0
1779	madri fastidiose	1
1780	moglie non dovrebbe essere amata	1
1781	lei dovrebbe essere elogiata	0
1782	lei dovrebbe essere stimata	0
1783	madri non dovrebbero essere massacrate	0
1784	figlia idiota	1
